tren;ramal;llegada;segundos_desde_07
1046;Bosques (vía Temperley);06:30;-1800
5332;Glew / A. Korn;06:31;-1740
2056;Bosques (vía Quilmes);06:34;-1560
3034;Ezeiza / Cañuelas;06:38;-1320
1050;Bosques (vía Temperley);06:39;-1260
5336;Glew / A. Korn;06:46;-840
3038;Ezeiza / Cañuelas;06:49;-660
1054;Bosques (vía Temperley);06:54;-360
5340;Glew / A. Korn;06:55;-300
4060;La Plata;06:58;-120
4608;Ezeiza / Cañuelas;06:59;-60
3042;Ezeiza / Cañuelas;07:02;120
1058;Bosques (vía Temperley);07:07;420
2064;Bosques (vía Quilmes);07:10;600
5344;Glew / A. Korn;07:10;600
1062;Bosques (vía Temperley);07:18;1080
5348;Glew / A. Korn;07:19;1140
3050;Ezeiza / Cañuelas;07:26;1560
1066;Bosques (vía Temperley);07:27;1620
4068;La Plata;07:30;1800
5352;Glew / A. Korn;07:34;2040
3054;Ezeiza / Cañuelas;07:37;2220
4612;Ezeiza / Cañuelas;07:41;2460
1070;Bosques (vía Temperley);07:42;2520
5356;Glew / A. Korn;07:43;2580
2072;Bosques (vía Quilmes);07:46;2760
1074;Bosques (vía Temperley);07:49;2940
3058;Ezeiza / Cañuelas;07:50;3000
4076;La Plata;07:56;3360
5360;Glew / A. Korn;07:58;3480
3062;Ezeiza / Cañuelas;08:01;3660
1078;Bosques (vía Temperley);08:06;3960
5364;Glew / A. Korn;08:07;4020
2080;Bosques (vía Quilmes);08:10;4200
3066;Ezeiza / Cañuelas;08:14;4440
1082;Bosques (vía Temperley);08:15;4500
4084;La Plata;08:22;4920
5368;Glew / A. Korn;08:22;4920
4614;Ezeiza / Cañuelas;08:23;4980
3070;Ezeiza / Cañuelas;08:25;5100
1086;Bosques (vía Temperley);08:30;5400
5372;Glew / A. Korn;08:31;5460
2088;Bosques (vía Quilmes);08:34;5640
3074;Ezeiza / Cañuelas;08:38;5880
1090;Bosques (vía Temperley);08:39;5940
4092;La Plata;08:46;6360
5376;Glew / A. Korn;08:46;6360
3078;Ezeiza / Cañuelas;08:49;6540
1094;Bosques (vía Temperley);08:54;6840
5380;Glew / A. Korn;08:55;6900
3082;Ezeiza / Cañuelas;09:02;7320
1098;Bosques (vía Temperley);09:03;7380
4616;Ezeiza / Cañuelas;09:05;7500
4100;La Plata;09:10;7800
5384;Glew / A. Korn;09:10;7800
3086;Ezeiza / Cañuelas;09:14;8040
1102;Bosques (vía Temperley);09:18;8280
5388;Glew / A. Korn;09:19;8340
2104;Bosques (vía Quilmes);09:22;8520
3090;Ezeiza / Cañuelas;09:26;8760
1106;Bosques (vía Temperley);09:27;8820
